epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
60,777.935,0.70078,1.67319,0.88976,1.25066,0.86571,0.77927,0.83773,0.58526,0.79812,0.77841,0.77344,0.47957,1.26265,3.20612,1.06527,1.98359,0.000693305,0.000693305,0.000693305
61,791.229,0.69334,1.68007,0.94266,1.25585,0.75287,0.82447,0.84302,0.56519,0.72289,0.78201,0.78086,0.45112,1.30203,3.33894,1.09918,2.07255,0.000676802,0.000676802,0.000676802
62,804.423,0.69489,1.66633,0.90755,1.26157,0.7926,0.76208,0.83153,0.59043,0.81082,0.69066,0.76006,0.4962,1.3142,3.00138,1.14542,2.022,0.000660299,0.000660299,0.000660299
63,817.674,0.69624,1.66294,0.89736,1.26558,0.84379,0.7927,0.81326,0.58615,0.80897,0.71588,0.74431,0.46639,1.24459,2.85481,1.08042,1.93544,0.000643795,0.000643795,0.000643795
64,830.826,0.66908,1.65115,0.88578,1.2512,0.81482,0.76833,0.76857,0.51961,0.74776,0.6983,0.67247,0.41322,1.36294,3.03836,1.2221,2.06865,0.000627292,0.000627292,0.000627292
65,844.128,0.67621,1.60128,0.90403,1.2381,0.77806,0.76318,0.79943,0.54638,0.73133,0.71741,0.72319,0.44626,1.1847,2.97395,1.0822,1.9074,0.000610789,0.000610789,0.000610789
66,857.629,0.67806,1.61851,0.877,1.25544,0.93125,0.67884,0.80268,0.56236,0.7539,0.75188,0.75897,0.45725,1.25307,3.03191,1.04532,2.02405,0.000594286,0.000594286,0.000594286
67,870.959,0.65263,1.60561,0.89282,1.22363,0.85718,0.73147,0.81516,0.56504,0.82576,0.71106,0.76817,0.46323,1.24658,3.15988,1.09971,1.99155,0.000577782,0.000577782,0.000577782
68,884.367,0.6686,1.67427,0.87448,1.22403,0.84509,0.72677,0.81151,0.57616,0.80068,0.69825,0.74153,0.47981,1.14392,3.00318,1.14465,1.87996,0.000561279,0.000561279,0.000561279
69,897.729,0.63408,1.62793,0.85124,1.21502,0.79602,0.73673,0.81092,0.57962,0.73525,0.73147,0.76871,0.47562,1.17752,2.84336,1.14171,1.87563,0.000544776,0.000544776,0.000544776
70,910.982,0.64076,1.54852,0.84066,1.21476,0.7714,0.83134,0.83205,0.58782,0.73427,0.79348,0.77639,0.48121,1.31083,3.04954,1.04607,2.03976,0.000528272,0.000528272,0.000528272
71,924.138,0.65984,1.57128,0.8476,1.22948,0.84202,0.8072,0.84298,0.59029,0.80362,0.76638,0.80398,0.47279,1.23112,3.29255,0.96448,1.95098,0.000511769,0.000511769,0.000511769
72,937.276,0.65504,1.55366,0.83644,1.21912,0.84121,0.8029,0.82845,0.55111,0.81254,0.75804,0.7707,0.44847,1.26659,3.2619,0.99889,1.94906,0.000495266,0.000495266,0.000495266
